ID,Report,Category,Severity,Priority,Title,Impact,Evidence,RootCause,Recommendation,AcceptanceCriteria,Effort,Dependencies,SuggestedOwner,Status,BacklogStatus
UI-001,UI,Design System,P1,P1,1.799 statische Farbklassen umgehen semantische Tokens,Light/Dark und Akzent-Packs driften; hohe Regressiongefahr,"design-token-matrix.csv; Top: projects 195, travel 161, pages 130",Seiten wurden lokal mit Zinc/Amber/Statusfarben statt Komponenten-/Semantik-Tokens gebaut,Semantische Surface/Text/Status-Tokens und Komponenten-Wrapper durchsetzen,Verbotene Klassen im dual-mode UI = 0 oder begründete Ausnahme; visuelle Regression Light/Dark,L,UI-004,Frontend/Design System,CODE_CONFIRMED,OPEN
UI-002,UI,Accessibility,P1,P1,Weiße Schrift auf allen brand-500-Presets verfehlt WCAG AA,Primäre CTAs sind für viele Nutzer nicht ausreichend lesbar,"Berechnet: Amber 3.19:1, Blau 3.68, Grün 2.28, Rosé 3.67, Violett 4.23; a11y-audit.json","Ein universelles text-white wird auf zu hellen, frei wählbaren Akzenten verwendet",Kontrastadaptiven Button-Text oder dunklere CTA-Stufe verwenden,Jedes Preset und Custom-Hex erreicht 4.5:1; automatisierter Kontrasttest,M,,Frontend/A11y,BOTH,OPEN
UI-003,UI,Accessibility,P1,P1,text-fg-subtle ist für normalen Text zu kontrastarm,"Hilfen, Zähler und Metadaten sind schwer lesbar","Light 2.56:1, Dark 4.12:1; live Hilfetexte/Badges",Subtle-Token wird für normalen 10–12px Text statt rein dekorative Inhalte verwendet,Token heller/dunkler abstufen und Nutzung auf große/dekorative Inhalte begrenzen,Normaltext >=4.5:1 in Light und Dark,S,,Frontend/A11y,BOTH,OPEN
UI-004,UI,Theming,P1,P1,Nicht-Amber-Presets verwenden im Light Mode die Dark-first-Skala,Blue/Green/Rose/Violet verhalten sich im Light Theme farblich inkonsistent,globals.css:43-108 vs. :root:not([data-accent]):not(.dark):110-123,data-accent-Selektoren unterscheiden Light und Dark nicht,Je Preset separate Light-/Dark-Tokens definieren,Alle sechs Akzente bestehen Snapshot+Kontrasttests in beiden Modi,M,,Design System,CODE_CONFIRMED,OPEN
UI-005,UI,Theming,P2,P2,Custom-Akzent überschreibt nur 400/500/600 und mischt Rest mit Amber,Custom-Theme wirkt in Komponenten mit 50–300/700–900 zweifarbig,theme-store.ts:35-49,Aus Custom-Hex wird keine vollständige Tonleiter erzeugt,Vollständige OKLCH-Tonleiter generieren,50–900 folgen Custom-Hue; Kontrasttests bestanden,M,UI-002,Design System,CODE_CONFIRMED,OPEN
UI-006,UI,Glass UI,P2,P2,Bestehende glass-Utility ist hardcodiert dunkel,Glass-Flächen funktionieren im Light Theme nicht konsistent,globals.css:153-157,"rgba(24,24,27,.7) und weiße Border sind nicht theme-aware",Glass-Surface über semantische RGB/Alpha-Tokens plus Fallback definieren,Light/Dark/Reduced Transparency visuell und per Kontrast geprüft,S,,Design System,CODE_CONFIRMED,OPEN
UI-007,UI,Motion,P2,P2,Animationssystem respektiert reduced motion nicht global,Vestibuläre Barriere und Verstoß gegen UI_UX.md,globals.css:165-169; keine prefers-reduced-motion-Regel,Animationen sind unbedingte Utilities,Globale reduced-motion-Variante und component-level opt-out,Bei prefers-reduced-motion keine nichtessenzielle Bewegung,S,,Frontend/A11y,CODE_CONFIRMED,OPEN
UI-008,UI,Layout,P2,P2,Dashboard nutzt großen Desktopbereich nicht aus,"Schwache Hierarchie, viel tote Fläche, Widgets wirken zufällig",dashboard__1440x1000__dark__default.png,Grid packt große Medien-/Kalenderkarten links und schmale Widgets in eine Mini-Spalte,"Responsive 12-Spalten-Grid, klare Widget-Größen und Ausrichtung",1440/1920px ohne unbegründete Leerräume; Resize-Grenzen stabil,M,,Frontend/UX,OBSERVED,OPEN
UI-009,UI,Responsive,P1,P1,Mobile Shell entspricht nicht der Bottom-Tab-Spezifikation,Mobile Navigation ist versteckt; Kernbereiche benötigen Zusatzschritt,mobile/dashboard__375x812__dark.png; UI_UX.md:258-263,Desktop-Sidebar wird nur zum Hamburger statt zu fünf Bottom-Tabs,Mobile Bottom-Bar + Mehr-Sheet implementieren,"375px: fünf Kernziele sichtbar, keine Überlagerung",M,,Frontend/UX,OBSERVED,OPEN
UI-010,UI,Responsive,P1,P1,Mobile Überschriften/Tabs werden abgeschnitten und horizontal überlaufen,"Seitenname beginnt als „iten“, Settings als „stem…“; Tabs/Pfade abgeschnitten","mobile/pages, mobile/settings, mobile/email Screenshots",Hamburger liegt absolut über Content; Desktop-Tabreihen bleiben ungebrochen,"Mobile Header-Inset, scrollbare/gestapelte Tabs und Sheet-Navigation",320/375px ohne Textüberlagerung oder horizontale Page-Scrollbar,M,UI-009,Frontend/UX,OBSERVED,OPEN
UI-011,UI,Interaction,P1,P1,Zentrale Aktionen sind hover-only und auf Touch unsichtbar,Delete/Edit/Remove sind auf Touch und Tastatur kaum erreichbar,BlockHandle.tsx:74; PageHeader.tsx:128; mehrere Blockkomponenten,opacity-0 group-hover wird als primäres Aktionsmodell genutzt,"focus-within, sichtbares Touch-Menü und persistente Handles ergänzen","Alle Aktionen per Touch, Tastatur und Screenreader erreichbar",M,,Frontend/A11y,BOTH,OPEN
UI-012,UI,Accessibility,P1,P1,"A11y-Audit: leere Namen, unlabeled Felder und zu kleine Ziele",Screenreader-/Touchbedienung deutlich eingeschränkt,"12 Routen: 586 Controls, 4 leere Namen, 13 unlabeled Felder, 469 Ziele <44px",Icon-Buttons und Inputs verlassen sich auf Optik/Placeholder; 24–40px Targets,Accessible Names/Labels und 44px Touchflächen als Komponentenvertrag,0 leere Namen/unlabeled Felder; kritische Touchziele >=44px,L,,Frontend/A11y,BOTH,OPEN
UI-013,UI,Accessibility,P1,P1,Pages-Einträge sind klickbare divs statt Links/Buttons,"Keine Tab-Navigation, keine Linksemantik, schlechter Deep-Link",page.tsx:352-385; live-pages.json listet Einträge nicht als Controls,onClick/cursor-pointer liegt auf div ohne role/tabIndex,Semantische Links/treeitems verwenden,Alle Seiten per Tab/Enter erreichbar und URL kopierbar,S,,Pages/A11y,BOTH,OPEN
UI-014,UI,Error UX,P1,P1,Backend-500 werden als leere Datenzustände verschleiert,"Nutzer glaubt, er habe keine Daten und kann falsche Aktionen ausführen",Finance/Shopping/Email Screenshots + live 500s,Queries behandeln error wie leere Arrays oder ignorieren Statusfehler,"Explizite Error Boundary, Ursache, Retry und Offline-Status","500 zeigt Fehler+Retry, niemals Empty State",M,"FUNC-003,FUNC-004,FUNC-005",Frontend/UX,OBSERVED,OPEN
UI-015,UI,Media UX,P2,P2,Rezeptkarten zeigen riesige leere Bildflächen bei 404,"Unprofessionelle Karten, verschwendete Fläche, schlechter Scan",recipes screenshot; recipe pages always request /recipes/image/:id,Image wird immer gerendert; Listen-/Detailansicht ohne onError-Fallback,Thumbnail-Verfügbarkeit im Modell + kompakter Fallback,404 zeigt definierte Placeholder-Karte ohne Layoutloch,S,,Recipes/Frontend,BOTH,OPEN
UI-016,UI,Pages UX,P2,P2,Pages-Übersicht ist optisch flach und wenig klickbar,Hierarchie und Ziel der Zeilen sind schwer erkennbar; viel tote Fläche,pages-overview screenshot,"Eine große Card um alle Rows, kaum Hover/Chevron/Metadaten","Tree/List mit klaren Row-Zuständen, Sortierung und Suchfeld","Klickziel, Parent/Child und Aktionen sind sofort erkennbar",M,,Pages/UX,OBSERVED,OPEN
UI-017,UI,Settings UX,P2,P2,Settings-Tabs besitzen keine Tab-Semantik und brechen mobil,Screenreader- und Mobile-Navigation unklar,settings/page.tsx:55-70; mobile/settings screenshot,Buttons ohne tablist/tab/aria-selected; feste horizontale Reihe,Radix Tabs oder vollständige ARIA-Tabs plus mobile Scroll/Select,"Keyboard-Pfeile, aria-selected und 320px-Reflow funktionieren",S,,Settings/A11y,BOTH,OPEN
FUNC-001,Code,Routing/Auth,P1,P1,Acht Deep Links verlieren ihr Ziel durch Auth-Hydration-Race,Direkte URLs führen über Login zum Dashboard; Route wirkt defekt,"routes.csv FAIL_REDIRECT_DASHBOARD; documents:70, insurance:88, IT:240, projects:645, search:69, travel:514, vault:60",Effect prüft initial null accessToken vor Zustand-Rehydration,Zentraler AuthBoundary mit hydration state und returnUrl,Direktaufruf jeder geschützten Route bleibt nach Rehydration erhalten,M,,Frontend/Auth,BOTH,OPEN
FUNC-002,Code,Travel,P0,P0,Travel-Frontend und Backend haben unvereinbare API-Pfade,Reisen-Domain ist praktisch unbenutzbar,Frontend /travel/trips; TravelController @Controller(trips); live 404 vs /trips 500,API-Vertrag driftete ohne Contract-Test,Ein kanonischer Prefix und Contract-Test; 500-Ursache beheben,GET/CRUD Travel liefert 2xx und Seite rendert Daten/Empty korrekt,M,,Travel Fullstack,BOTH,OPEN
FUNC-003,Code,Finance,P0,P0,Alle sechs Finance-Kernendpunkte liefern live HTTP 500,Gesamte Finanzdomain zeigt falsche Empty States,"net-worth, budgets, assets, accounts, transactions, savings-goals je 500",Wahrscheinlich Deployment-/Schema-Drift; Startscript toleriert Migrationfehler,"Logs+Migration prüfen, Schema reparieren, Error UI",Alle Endpunkte 2xx; Migration aus leerer und bestehender DB getestet,L,DOCKER-004,Finance/DB,OBSERVED,OPEN
FUNC-004,Code,Shopping,P1,P1,Shopping-Liste liefert live HTTP 500,Einkaufslisten sind nicht verlässlich nutzbar,/api/v1/shopping-lists 500; Shopping-Screenshot zeigt 0 Listen,Backend/DB-Fehler wird als Empty State verschluckt,Endpoint/Schema reparieren und UI-Fehlerstatus,GET 200; Create/Update/Delete E2E grün,M,DOCKER-004,Shopping Fullstack,OBSERVED,OPEN
FUNC-005,Code,Email,P1,P1,E-Mail-Status liefert live HTTP 500,UI zeigt „Keine E-Mails“ statt Integrationsfehler,/api/v1/email/status 500; Email-Screenshot,Fehlerpfad wird nicht getrennt von leerem Postfach,Status-Service reparieren; Connection/Error CTA,Connected/disconnected/error/empty eindeutig getestet,M,,Email/Integrations,OBSERVED,OPEN
FUNC-006,Code,Error Contracts,P2,P2,Ungültige Jellyfin-IDs führen häufig zu 500 statt 404,Schlechte Deep-Link-Resilienz und unnötige Alarmierung,Atlas: detail/children/playlist endpoints mit invalid ID 500,Provider-/Service-Fehler werden unnormalisiert als 500 geworfen,"Not-found auf 404 mappen, Providerfehler RFC7807",Invalid IDs ergeben verständlichen 404-State,M,,Jellyfin Backend,OBSERVED,OPEN
FUNC-007,Code,API Contracts,P1,P1,Travel besitzt acht bestätigte Frontend/Controller-Mismatches,Jeder Travel CRUD-Aufruf trifft falsche Route,api-contracts.csv CONFIRMED_MISMATCH=8,Manuelle Stringpfade ohne OpenAPI-Client,OpenAPI/typed Client generieren und CI-Contract-Gate,0 CONFIRMED_MISMATCH; E2E pro Mutation,M,FUNC-002,Platform/API,CODE_CONFIRMED,OPEN
FUNC-008,Code,Dead Code,P2,P2,Alte Media-MusicLibrary ruft drei nicht existente Endpunkte,Wartungs- und Verwechslungsrisiko,MusicLibrary.tsx unimported; /media/music/* ohne Controller,Abgelöste Komponente blieb im Quellbaum,Löschen oder an aktuelle Jellyfin-Musik-API anbinden,Kein unerreichbarer API-Clientcode,S,,Media/Frontend,CODE_CONFIRMED,OPEN
FUNC-009,Code,Testing,P1,P1,Backend-Testscript besteht trotz null Testdateien,CI vermittelt falsche Sicherheit; Security-/CRUD-Regressions unentdeckt,backend test PASS: No test files found; --passWithNoTests; coverage FAIL,Backend-App filtert Domain-Tests aus und toleriert Leerlauf,No-tests als Fehler; Domain-Suites zentral aggregieren,Backend test führt reale Tests aus; Coverage-Schwelle enforced,M,,QA/Backend,BOTH,OPEN
PAGE-001,Code,Pages UX,P1,P1,"Blocklöschen funktioniert technisch, ist aber versteckt/unzugänglich",Nutzer erlebt Löschen als nicht vorhanden,BlockHandle wrapper opacity 0; live UI Delete 204 + Read-back absent,Delete liegt hinter unsichtbarem Hover-Plus-Menü,"Persistenter Handle bei Fokus/Touch, Delete-Shortcut, Undo",QA: Maus/Touch/Tastatur löschen + Undo; API Read-back,M,,Pages Frontend,BOTH,OPEN
PAGE-002,Code,Pages UX,P1,P1,BlockHandle-Suchfeld filtert nichts,Täuschendes Control und langsame Blockwahl,BlockHandle.tsx:87-95 ohne value/onChange; Optionen ungefiltert,Nur visuelles Input-Skelett implementiert,"Query-State, Filter und Keyboard-Navigation",Eingabe reduziert Liste und Enter wählt Treffer,S,,Pages Frontend,CODE_CONFIRMED,OPEN
PAGE-003,Code,Pages Architecture,P1,P1,Vier widersprüchliche Blocklisten driften,Unsupported Widgets werden angeboten oder fehlen; Änderungen vervielfacht,page.tsx union/defaults/rendering; BlockHandle 15; registry 28; DTO/entity,Keine einzige ausführbare Registry als Source of Truth,"Registry besitzt Schema, Renderer, Default, Commands, Supportstatus",Jeder Typ einmal registriert; CI prüft Frontend/Backend-Parität,L,,Pages Architecture,CODE_CONFIRMED,OPEN
