Capability,Notion-Soll,LifeHub-Code,Live-Status,Gap,Priority,Evidence,AcceptanceCriteria
Page CRUD,Create/read/update/delete with recovery,Page CRUD API and UI exist,PASS/PARTIAL,Delete works; restore/trash UX is not Notion-like,P2,"page.tsx:409-421,954-961; live QA page created","Provide trash, undo and restore flow"
Page hierarchy,"Nested pages, keyboard navigation",parentId/tree exists,PARTIAL,"Hierarchy visible, but overview rows are click-divs",P1,page.tsx:345-390; live-pages.json,Render semantic links/treeitems with keyboard controls
Page icon/cover/description,Inline editable page identity,PageHeader supports all three,PASS/PARTIAL,"Available, but hover-only cover removal/edit actions",P2,PageHeader.tsx:123-170; page-test screenshot,Expose persistent or focus-revealed controls
Full width,Per-page toggle,Implemented and persisted locally,PASS,Core behavior exists,P3,"page.tsx:840-877,1079-1090",Persist server-side per user/page
Block type API acceptance,All registered types accepted,All 28 types return 201 and delete 204,PASS backend,API permissive; UI support differs,P2,Live QA matrix 2026-08-22,Add contract tests per type/content schema
Block add menu,All supported blocks discoverable,Main menu hides 4 registry widgets,PARTIAL,calendar/finance/IT/Jellyfin registered but hidden,P1,page.tsx:1153; blockRegistry.ts,One canonical registry with support flags
Block deletion,"Visible handle, keyboard/touch, undo",Delete API and menu action work,FAIL UX / PASS API,Menu wrapper opacity 0; hover-only + no keyboard/touch discovery,P1,"BlockHandle.tsx:74,165-170; live delete 204/read-back absent","Persistent focus/touch handle, Del shortcut, undo toast"
Block duplication,Duplicate adjacent to source,API creates copy at max sort order,PARTIAL,Copy always appended at page end,P2,page.tsx:913-924,Insert directly after source and focus duplicate
Block reorder,Atomic drag/keyboard reorder,dnd-kit exists; API loops updates,PARTIAL,No transaction and no block-page membership validation,P1,DragDropContainer.tsx; pages.service.ts:220-225,Transactional reorder constrained to page IDs
Block conversion,Convert while preserving compatible content,Subset mapping exists,PARTIAL,Unsupported types lose content/default; menus disagree,P1,page.tsx:992-1034; BlockHandle.tsx:18-34,Canonical conversion matrix + confirmation for loss
BlockHandle search,Typing filters block types,Input is rendered without state/onChange,FAIL,Search field has no effect,P1,"BlockHandle.tsx:87-95,121-147",Bind query and filter options with keyboard navigation
Slash menu opening,Slash opens contextual insert menu,Custom shortcut/event exists,PARTIAL,"Global event, fixed positioning, no insertion context model",P1,"SlashMenu.tsx:15-36,82-87",Contextual anchored command palette at caret
Slash menu action,Insert new block at cursor,Calls onBlockTypeChange on current block,FAIL,Converts current text block instead of inserting a new block,P1,"page.tsx:255-257,560-565; SlashMenu.tsx:112-117",Create a new block at cursor and preserve current content
Slash menu support list,Only renderable types shown,Uses all 28 registry entries,FAIL,Exposes four widgets BlockEditor cannot render beyond fallback,P1,"SlashMenu.tsx:55; page.tsx:825-829,1153",Registry must declare renderer and availability
Rich text bold/italic/strike,Discoverable bubble/floating toolbar,StarterKit supports marks internally,PARTIAL,No visible formatting controls in live DOM,P1,page.tsx:231-249; live formatControls=[],Add selection toolbar + shortcuts/help
Underline/highlight/color,Notion-like inline formatting,No extensions or controls found,FAIL,Requested formatting absent,P1,Zero source matches for underline/highlight commands,Add explicit TipTap extensions and accessible controls
Heading levels,H1/H2/H3 conversion and shortcuts,Level select exists,PARTIAL,Select appears only on group hover; no text toolbar,P2,page.tsx:526-555,Visible block type/heading level command
Toggle block,Nested collapsible content,Button + plain textarea,PARTIAL,"No child blocks, rich text, reorder or nesting",P1,ToggleBlock.tsx:13-37,Model toggle children as nested block IDs
Toggle headings,H1/H2/H3 headings with collapsible children,No type/component found,FAIL,Explicit user requirement missing,P1,Zero code matches for toggle_heading,Add toggle-heading variants with nested blocks
Table of contents,"Auto-generated from headings, live anchors",No implementation found,FAIL,Explicit user requirement missing,P1,Zero code matches for TOC/TableOfContents,Add derived TOC block with stable heading anchors
Undo/redo,Page-wide structural and text undo,TipTap internal history only,PARTIAL,No page/block operation undo stack or visible controls,P1,No Pages undo/redo handlers; version history is modal,Command history across block operations
Multi-block selection,Shift/Ctrl selection and bulk actions,No selection model found,FAIL,Cannot copy/move/delete groups,P2,Zero selectedBlocks/BlockRange matches,Selection state + keyboard/touch bulk bar
Nested blocks,Blocks can have children/indent,Flat sortOrder list,FAIL,No parentBlockId or nesting model,P1,PageBlock interface/page schema; editor flat map,Add parent/position model and migrations
Simple table,Editable rows/columns and aggregates,TableBlock exists,PARTIAL,"Useful simple table, not a Notion database",P2,TableBlock.tsx,Keep as simple table and label distinctly
Database base model,Database page with schema/views,database_pages table only,FAIL product,No repository/service/controller/frontend usage,P1,public.ts:973-981; only usage is declaration,Implement complete vertical slice or remove false affordance
Database row-as-page,Every row is a full Page,No implementation,FAIL,Everything-is-a-database absent,P1,No domain/frontend code usage,Rows reference pages and open as pages
Database properties,Typed properties incl select/date/relation,Only JSON schema placeholder column,FAIL,No property CRUD/validation/UI,P1,public.ts:977,Property definitions + typed values + migrations
Database views,Table/board/list/calendar/gallery/timeline,No implementation,FAIL,No view engine/filter/sort/group,P1,No Pages UI/service matches,View registry with persisted configs
Formula/rollup,Computed properties and relations,No implementation,FAIL,No formula engine/rollup,P2,No source matches,Typed formula evaluator and dependency graph
Page relations/backlinks,Bidirectional links/backlinks,Relations section/API exists,PARTIAL,"Separate relations section, not inline property/backlink UX",P2,page.tsx:1396+; pages.service.ts:263+,"Unify page mentions, backlinks and DB relations"
Templates,Create pages from templates,Template API/UI exists,PARTIAL,Basic chooser; no DB templates/buttons,P2,page.tsx:403-473,Template gallery and per-database templates
Version history,Inspect/restore page and block versions,Both modals/endpoints exist,PASS/PARTIAL,Good foundation; block ownership validation missing,P1,PageVersionHistory.tsx; BlockVersionHistory.tsx; service:228+,Validate block belongs to page before read/restore
Permissions/owner isolation,Every mutation scoped to owning page/block,Page owner checked,FAIL security,Block ID is not checked against page for update/delete/reorder/version,P0,"pages.service.ts:186-225,228-258",Repository query must require blockId+pageId+ownerId; tests
Autosave durability,No lost edits on navigation/unmount,Text debounced 800ms,PARTIAL,Cleanup clears pending timer without flushing,P1,page.tsx:225-253,Flush pending transaction on blur/unmount and show save state
Touch/mobile editor,All actions available without hover,Many controls opacity-0/group-hover,FAIL,Delete/edit/remove inaccessible on touch,P1,BlockHandle.tsx:74; PageHeader.tsx:128; multiple blocks,Focus-within/touch action menu and 44px targets
Accessibility semantics,Keyboard/screen-reader editor,Some dnd keyboard support,FAIL/PARTIAL,Page rows click-divs; icon buttons lack names; hover-only actions,P1,page.tsx:352-385; live DOM inventory,"Semantic tree, aria labels, focus management"
Browser block,Embedded usable persistent browser,Session/UI/API implemented,FAIL live cold start,Initial stream failure sticks; remount yields black reconnect loop,P0,browser-active screenshots; live WebRTC track ended,"Retry cold start, clear dead tracks, verified reconnect E2E"
Frontend test coverage,Behavior covered by unit/component/E2E tests,No Pages frontend tests found,FAIL,Core editor regressions are unguarded,P1,search: no *.test.tsx; only URL policy spec,Component + API + Playwright matrix per block type
